"Name","id","Phone","Email","Website/Social Media","Neighborhood","Category","Pod","Latitude","Longitude","Address","Zip Code","Status","Special Accommodation Hours","Pickup Offered","Delivery Offered","Hours","Last Updated","Created time","Last Modified by","Source","Delivery/Pickup Notes","Admin Notes","Donate","Sub-Category","Outdoor Space","Indoor Seating","Type of Closing","SNAP/EBT"
"Greenpoint Fish & Lobster ",158,"718-313-1913",,"https://www.instagram.com/greenpointfish/","Greenpoint","Restaurant","12",40.724156,-73.949114,"114 Nassau Ave.","11222","Open",,"Yes","Yes","Weds-Sun: 12pm-7pm
","2020-07-09T17:03:51.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","North Brooklyn Neighbors","Order delivery through Mercato. Sundays 5pm-7pm FREE meal to restaurant industry workers.
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/greenpoint-fish-amp-lobster-co","Seafood Market","Sidewalk Seating",,,
"Greenpoint Veterinary Hospital",159,"347-529-4345","gpointvet@gmail.com","http://www.greenpointvet.com/","Greenpoint","Pet Supplies","12",40.724349,-73.949533,"111 Nassau Ave., Brooklyn, NY 11222","11222","Open",,,,"Mon: 10am-7pm / Tues: 9am-5pm / Weds: 10am-7pm / Thurs: 11am-7pm / Fri: 9am-6pm / Sat-Sun: 10am-6pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,"Pet Hospital
Practicing Social distancing
",,,,,,
"Greg's Laundromat",160,"718-389-8910",,,"Greenpoint","Laundromat","12",40.724078,-73.950702,"634 Manhattan Avenue, Brooklyn, NY 11222","11222","Closed",,,,,"2020-04-29T01:31:41.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,,,,,,"Temporary",
"Gshmak Bakery and Cafe",161,"(718) 576-3190",,"https://gshmak-bakery.business.site/?utm_source=gmb&utm_medium=referral","South Williamsburg","Restaurant","36",40.69957,-73.95644,"164 Wallabout St, Brooklyn, NY 11206","11206",,,,,,"2020-05-02T04:19:06.000Z","2020-05-01T04:30:34.000Z",,,,,,"Bakery",,,,
"Happy Dogs at McCarren Park",162,"718-388-7091","info@happydogsnyc.com","http://happydogsnyc.com/mccarren-park/","North Williamsburg","Pet Supplies","15",40.719219,-73.952955,"234 N 12th St, Brooklyn, Brooklyn, NY 11211","11211","Open",,,,"By Appointment Only
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,"Special Coronavirus hours and protocols

To give our pups (and parents) a twice-weekly break from the shutdown, we are open for daycare on Tuesdays and Thursdays only with limited hours. We’d love to see you!

There are some special protocols in place for safety and to make things work:

Booking via email required by 4pm the day before
Baths available on first-come first-served basis (waitlist available)
No pick-ups or drop-offs available
Check-in window: 8:30 am to 11:00 am
Check-out window: 4:00 pm to 6:30 pm
Safety protocols (details upon booking)
No entry to front area — please stay outside
Contactless check in/out via text message — do not touch door/buzzer
Parents/staff to wear masks at handoffs
Post check-in wipe down of all dogs and gear
This is our plan at the moment. Thing may change week to week. When you book, we’ll confirm things.

We’re not doing boarding at the moment.
",,,,,,
"Happy Tails Holistic Pet Grooming",163,"718-383-2590","Happytailsbrooklyn@gmail.com","happytailsbrooklyn.com","Greenpoint","Pet Supplies","10",40.72316,-73.941547,"67 Driggs Ave #1, Brooklyn, NY 11222","11222",,,,,,"2020-04-29T01:29:25.000Z","2020-04-29T00:34:13.000Z",,,,"Groomer
",,,,,,
"Harefield Road",164,"718-388-6870",,"https://www.instagram.com/harefieldroad/","East Williamsburg","Bar","18",40.714824,-73.943424,"769 Metropolitan Avenue","11211","Open",,"Yes","No","Mon-Thurs: 4pm-11pm/Fri: 4pm-1am/Sat: 2pm-1am/Sun: 2pm-11pm
","2020-10-13T00:02:24.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","
","Donation Link Last Checked 9/7/20 AR
","https://www.gofundme.com/f/harefield-road-bar-staff-fund",,"Backyard/Open Space","Yes",,
"Have & Meyer",165,"718-387-0722",,"https://www.instagram.com/haveandmeyer/","South Williamsburg","Restaurant","26",40.713172,-73.956173,"103 Havemeyer St.","11211","Open",,"Yes","Yes","Daily: 2pm-9pm
","2020-05-18T21:57:26.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram/Location","Delivery via Caviar and on their site. Email pickup orders at info@haveandmeyer.com. Order wine at <https://www.haveandmeyerewine.com/>
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/support-our-staff-and-restaurants","Italian,Bar",,,,
"Health Direct",166,"(718) 388-9300",,,"South Williamsburg","Pharmacy","28",40.708585,-73.961204,"326 Roebling St, Brooklyn, NY 11211","11211","Closed",,,,"Web Orders only. No Rx.
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,"(Need to call.) May only be a food store.
",,,,,"Temporary",
"Hello Mailbox and Shipping Center",167,"(718) 599-6245",,,"South Williamsburg","Shipping Services/Post Office","28",40.708794,-73.961158,"320 Roebling St, Brooklyn, NY 11211","11211","No Answer",,,,,"2020-05-01T17:20:43.000Z","2020-04-29T04:03:11.000Z",,,,,,,,,,
"Hi Mango Natural Market",168,"(718) 366-1403",,,"East Williamsburg","Grocery Store","23",40.704405,-73.930191,"1055 Flushing Ave, Brooklyn, NY 11237","11237",,,,,,"2020-05-01T17:41:55.000Z","2020-05-01T17:39:53.000Z",,,,,,,,,,
"Home Meds Pharmacy",169,"(718) 534-1199",,,"South Williamsburg","Pharmacy","27",40.713163,-73.963648,"97 S 3rd St, Brooklyn, NY 11249","11249","Follow-up",,,,"Sun: 11am-3pm / Mon-Thurs: 10am-8pm / Fri: 10am-2pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Hotel Delmano",170,"718-387-1945","info@hoteldelmano.com","https://www.instagram.com/hoteldelmano/","North Williamsburg","Bar","13",40.719751,-73.958081,"82 Berry Street","11211","Open",,"Yes","No","Mon-Fri: 4pm-10pm/Sat-Sun: 2pm-10pm
","2020-10-14T19:21:24.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Eater NY/Website","
","Donation Link Last Checked 10/14/20 AR
","https://www.gofundme.com/f/hotel-delmano-employee-family-fund",,"Sidewalk Seating","No",,
"House of Sudz III",171,"718-578-5335",,,"Greenpoint","Laundromat","1",40.735775,-73.954911,"1090 Manhattan Avenue, Brooklyn, NY 11222","11222","No Answer",,,,,"2020-05-27T17:24:44.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrsJTECkaouCgZg4"",""email"":""zhi@beta.nyc"",""name"":""Zhi He""}",,,"Unknown is open or closed.
",,,,,,
"Hummus Market",172,"718-599-5600",,"https://www.instagram.com/hummusmarketnyc/","North Williamsburg","Restaurant","17",40.715389,-73.944779,"361 Graham Ave.","11211","Open",,"Yes","Yes","Daily: 12pm-10pm
","2020-05-18T21:59:32.000Z","2020-04-29T01:52:36.000Z","{""id"":""usrhuKQ7QCL5IRzb0"",""email"":""meganificent@gmail.com"",""name"":""Megan Penmann""}","Location/Instagram","Order on their website: <https://hummus-market.square.site/>
",,,"Mediterranean,Vegetarian",,,,
"Hungry Ghost Coffee (Metropolitan)",173,"(917) 909-1918",,"https://www.instagram.com/hungryghostcoffee/","North Williamsburg","Coffee Shop","17",40.71467,-73.94509,"721 Metropolitan Ave.","11211","Open",,"Yes","No","Daily: 7am-3pm
","2020-05-13T20:33:07.000Z","2020-05-03T19:26:09.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location",,,,"Sandwich",,,,
"Hungry?",174,"718-987-3893","info@hungrybk.com","https://www.instagram.com/hungrygreenpoint/","Greenpoint","Restaurant","7",40.725434,-73.952293,"77 Norman Ave.","11222","Open",,"Yes","Yes","Daily: 11:30am-4:15pm / Daily: 4:50pm-10:45pm
","2020-05-07T15:54:53.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","North Brooklyn Neighbors","Seamless/Grubhub
",,,"Thai",,,,
"Jaslowiczanka Bakery",175,"718-389-0263",,,"Greenpoint","Bakery","11",40.725252,-73.94688,"163 Nassau Avenue, Brooklyn, NY 11222","11222","Open",,,,"Mon-Sun: 10am-8pm
","2020-05-13T20:31:10.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location",,,,,,,,
"Jimmy’s Diner",176,"718-218-7174",,"https://www.instagram.com/jimmysdinerbrooklyn/","North Williamsburg","Restaurant","16",40.717698,-73.952461,"577 Union Avenue .","11211","Closed",,"No","No","
","2020-06-29T18:42:31.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Owner email","
","Donations will still go to staff via link last checked 6/29/20 in spite of closure.
","https://www.gofundme.com/f/jimmy039s-diner-employee-fund","American",,,"Permanent: Covid",
"Jungle Cafe",177,"347-987-4981",,"www.junglecafenyc.com","Greenpoint","Restaurant","6",40.730342,-73.954845,"131 Greenpoint Avenue","11222","Open",,"Yes","Yes","Mon-Sat: 12pm-10pm
","2020-07-16T23:21:21.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Order on their site. Use code JUNGLE2020 when ordering for a 10% discount.
",,,"Vegan,Vegetarian","Street Seating",,,
"Justin Time Pharmacy",178,"(718) 218-6630",,,"East Williamsburg","Pharmacy","22",40.703631,-73.941676,"96 Moore St, Brooklyn, NY 11206","11206","Open",,"Yes","Yes","Mon-Fri: 10am-6pm / Sat: 10am-5pm / Sun: Closed 
","2020-10-15T17:58:43.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,,,,,,,
"Kāmin Health",179,"(718) 408-8877","hrichter@kaminhealth.com","https://www.kaminhealth.com/williamsburg-urgent-care/","South Williamsburg","Health and Wellness","35",40.705504,-73.959988,"70 Lee Ave 2nd floor, Brooklyn, NY 11211","11211","Open",,,,"Sun-Thurs: 2pm-12am / Fri: 12pm-30 minutes before Sundown / Sat: 30 minutes after Nightfall-1am
","2020-10-15T17:48:53.000Z","2020-05-01T23:42:09.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Website (updating for Covid)",,"Can also call 877-52-KAMIN (5 2 6 4 6) with questions.
",,,,,,
"Karczma",180,"(718) 349-1744",,"https://www.instagram.com/karczma_brooklyn/?utm_source=ig_embed&utm_campaign=loading","Greenpoint","Restaurant","6",40.729889,-73.955115,"136 Greenpoint Ave, Brooklyn, NY ","11222","Open",,"Yes","Yes","Daily: 12pm-9pm
","2020-07-09T17:04:09.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Order on Grubhub, UberEats, or via: <http://toasttab.com/karczma-restaurant>
","<http://karczmabrooklyn.com/>
",,"Polish","Street Seating",,,
"Katz Drugs",181,"(718) 388-4588","admin@katzpharmacy.com","https://katzpharmacy.com/","East Williamsburg","Pharmacy","22",40.703609,-73.942262,"76 Graham Ave, Brooklyn, NY 11206","11206","Open",,"Yes","Yes","Mon-Sat: 9am-6pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Keg & Lantern",182,"718-389-5050",,"https://www.instagram.com/kegandlantern/","Greenpoint","Bar","12",40.724104,-73.95032,"97 Nassau Ave.","11222","Open",,"Yes","Yes","Daily: 11am-11pm
","2020-07-16T23:10:57.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Delivery on Seamless, UberEats and Grubhub.
","
",,"Restaurant","Backyard/Open Space",,,
"Kehilath Yakov Pupa & Tzehlem Matzo Bakery",183,"(718) 384-4899",,,"South Williamsburg","Restaurant","29",40.707571,-73.956045,"346 Broadway, Brooklyn, NY 11211","11211",,,,,,"2020-05-02T04:18:58.000Z","2020-05-01T04:20:12.000Z",,,,,,"Bakery",,,,
"Key Food",184,"(718) 383-9801",,,"Greenpoint","Grocery Store","5",40.73017,-73.950862,"224 McGuinness Blvd, Brooklyn, NY 11222","11222","Open","Daily: 7am-8am for Seniors & Immunocompromised",,"Yes","Daily: 8am-6pm
","2020-05-14T23:04:04.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrhuKQ7QCL5IRzb0"",""email"":""meganificent@gmail.com"",""name"":""Megan Penmann""}","Location","Instacart, $10 minimum, within zip code
","Key Food website is not accurate for the changing hours. Google right now seems to be more up-to-date.
",,"Supermarket",,,,
"Key Food (aka Tapps Supermarket)",185,"(718) 388-2776",,,"South Williamsburg","Grocery Store","25",40.711445,-73.94858,"575 Grand Street, Brooklyn, NY 11211","11211","Open",,"No","Yes","Daily: 7am-9pm
","2020-05-07T21:48:01.000Z","2020-04-29T00:34:13.000Z",,,"no delivery tuesday & wednesday
Instacart $10 minimum, within zip code
",,,"Supermarket",,,,
"Khim's Millennium Market",186,"(718) 963-3041",,,"North Williamsburg","Grocery Store","15",40.71921,-73.954471,"460 Driggs Avenue, Brooklyn, NY 11211","11211","Open",,"No","No","Daily: 8am-7:50pm
","2020-05-07T19:30:07.000Z","2020-04-29T00:34:13.000Z",,"St Nicks",,,,,,,,
"Kimchee Market",187,"(718) 389-5544",,,"Greenpoint","Grocery Store","4",40.730582,-73.951941,"191 Greenpoint Avenue, Brooklyn NY ","11222","Open",,,,"Daily: 12pm-10pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Location ",,"Korean grocery; Face mask required to enter
",,,,,,
"King Kog",188,"(347) 689-2299",,"https://www.instagram.com/kingkogbrooklyn/","South Williamsburg","Bike Shops","25",40.711332,-73.944772,"696 Grand Street, Brooklyn, NY 11211","11211","Open",,"Yes","Yes","Mon-Fri: 12pm-7pm /Sat-Sun: 11am-5pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Instagram","[www.kingkogbrooklyn.com](http://www.kingkogbrooklyn.com)
Offering free delivery and video call shopping 
",,,,,,,
"Kings County Imperial",189,"718-610-2000","info@kingscoimperial.com","https://www.instagram.com/kingscoimperial/","North Williamsburg","Restaurant","17",40.715149,-73.950977,"20 Skillman Ave.","11211","Open",,"Yes","Yes"," Daily: 4:30pm-10:30pm
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Delivery on Caviar, Doordash & Grubhub
","Delivery and pick-up are available at both our Williamsburg and LES locations from 4:30pm - 10:30pm daily.    Williamsburg Delivery options: Caviar, Doordash LES Delivery options: Caviar, Doordash, Postmates, Seamless  If you have any questions or concerns, please don’t hesitate to reach out to info@kingscoimperial.com - we’re here if you need us.  Thank you, as always, for your support. 
",,"Chinese",,,,
"Korn's Bakery & Cafe",190,"(718) 388-8748",,,"South Williamsburg","Bakery","34",40.708291,-73.964527,"454 Bedford Ave, Brooklyn, NY 11249","11249",,,,,,"2020-05-13T20:31:12.000Z","2020-05-01T04:07:35.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,,,"Coffee Shop",,,,
"Krispy Klean Laundry",191,"718-238-3828",,,"Greenpoint","Laundromat","7",40.72719,-73.951879,"120 Meserole Ave., Brooklyn, NY","11222","Open",,,,"Daily: 8am-7pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Krystyna Laundromat",192,"718-963-9146",,,"North Williamsburg","Laundromat","13",40.719843,-73.957453,"75 Berry Street, Brooklyn, NY 11211","11211","Open",,,,"Daily: 8am-6pm
","2020-05-14T18:30:32.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrhuKQ7QCL5IRzb0"",""email"":""meganificent@gmail.com"",""name"":""Megan Penmann""}","Submission Update",,"
",,,,,,
"Kween Kargo",193,"718-569-9320","info@kweenkargo.com","https://www.instagram.com/kweenkargo/","Greenpoint","Bike Shops","6",40.729373,-73.959519,"79A West Street, Brooklyn, NY 11222","11222","Open",,,,"Mon-Sat, 11 am to 6 pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"North Brooklyn Neighbors",,,,,,,,
"La Bicyclette Bakery",194,"(347) 916-1417",,"https://www.instagram.com/labicyclettebakery_nyc/?hl=en","North Williamsburg","Bakery","27",40.714372,-73.959056,"667 Driggs Ave, Williamsburg","11211","Open",,"Yes",,"Tues: 8am-3pm / Thu: 8am-3pm / Sat: 8am-3pm
","2020-05-22T20:11:04.000Z","2020-05-01T03:43:12.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,"labicyclettebakery.com
",,,,,,
"La Nonna",195,"(718) 302-1100",,"lanonnarestaurantmenu.com","North Williamsburg","Restaurant","14",40.71873,-73.964879,"184 Kent Ave, Brooklyn, NY 11249","11249","Open",,"Yes","Yes","Sun: 3pm-9:30pm / Tues-Sat: 4pm-9:30pm
","2020-05-06T15:43:22.000Z","2020-05-01T22:46:19.000Z",,"Location",,,,"Italian",,,,
"La Nonna Krispy Krust Pizza",196,"(347) 384-2100",,"https://www.krispykrustpizza.com/","North Williamsburg","Restaurant","14",40.718125,-73.963436,"175 Kent Ave, Brooklyn, NY 11211","11211","Open",,"Yes","Yes",,"2020-05-22T20:11:59.000Z","2020-05-01T21:36:06.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","Delivery via Seamless, Grubhub, Slice, Postmates, DoorDash, UberEats. 10% discount for direct phone orders only.
","
",,"Pizzeria",,,,
"La Norteña",197,"(718) 349-2626",,,"Greenpoint","Restaurant","25",40.724767,-73.951109,"668 Manhattan Ave","11206","Open",,"Yes","Yes","Daily: 6pm-4am
","2020-10-07T21:59:42.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"
",,,"Mexican","Street Seating",,,
"Lake Street",198,"718-609-0005",,"https://www.instagram.com/lakestbrooklyn/","Greenpoint","Bar","7",40.725733,-73.951714,"706 Manhattan Avenue","11222","Open",,"Yes","No","
","2020-10-18T16:04:14.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","
","Donation Link Last Checked 9/7/20 AR
","https://www.gofundme.com/f/lake-st-staff",,"Backyard/Open Space","Yes",,
"Lam Supply Inc. ",199,"718-389-8882",,,"East Williamsburg","Hardware Store","18",40.722506,-73.938383,"530 Morgan Ave, Brooklyn NY ","11222","No Answer",,,,,"2020-05-01T16:51:21.000Z","2020-04-29T00:34:13.000Z",,,,"Called number but message said it has been disconnected
",,,,,,
"Laundry Land 2",200,"718-383-3587",,,"Greenpoint","Laundromat","6",40.728335,-73.951657,"269 Eckford Street, Brooklyn, NY 11222","11222","Open",,"Yes","No","Daily: 9:30am-6:30pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Location",,"Must have face mask, 5 people max inside
",,,,,,
"Lavanderia Express 4",201,"718-384-4580",,,"North Williamsburg","Laundromat","25",40.71253,-73.944388,"287 Graham Avenue, Brooklyn, NY 11211","11211","Open",,"Yes","No","Daily: 7am-8pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Location",,,,,,,,
"Le Crocodile",202,"718-460-8004",,"https://www.instagram.com/lecrocodilebk/","North Williamsburg","Restaurant","13",40.72205,-73.95804,"80 Wythe Avenue","11249","Open",,"Yes","Yes","Mon-Fri: 12pm-8pm / Sat-Sun: 10am-8pm
","2020-10-21T17:25:52.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Order via their website for pickup or delivery: <https://www.toasttab.com/lecrocodile>
",,,"French","Backyard/Open Space,Sidewalk Seating,Street Seating","No",,
"Le Fanfare",203,"347-987-4244",,"https://www.instagram.com/lefanfare/","Greenpoint","Restaurant","1",40.73623,-73.955497,"1103 Manhattan Ave.","11222","Open",,"Yes","Yes","Daily: 11am-3pm & 5:30pm-9:30pm
","2020-05-27T19:26:01.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Order delivery via Grubhub, link on their Instagram.
","Gift cards available.
",,"Italian",,,,
"Le Fond",204,"718-389-6859",,"https://www.instagram.com/lefondbk","Greenpoint","Restaurant","7",40.725836,-73.951112,"105 Norman Ave.","11222","Open",,"Yes",,"Wed-Sun: 6pm-9 pm. 
","2020-07-09T17:04:50.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Pre-order by emailing contact@lefondbk.com. For same-day pickup, call 718-389-6859 to confirm. Pickup between 6pm and 9pm. 
","
",,"French",,,,
"Le Gamin",205,"(718) 770-7918","legaminnyc@gmail.com","https://www.instagram.com/legamin/","Greenpoint","Restaurant","6",40.72829,-73.95707,"108 Franklin Street","11222","Open",,"Yes","Yes","Daily: 12pm-9pm
","2020-07-02T16:05:59.000Z","2020-05-03T19:15:07.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","Call 718-770-7918 or Text 347-696-7082, or email legaminnyc@gmail.com. Menu here: <https://legamin.com/spring-menu> Delivery via Seamless, Grubhub and Postmates
",,,"French","Street Seating,Backyard/Open Space",,,
"Lee Avenue Shipping & Communications",206,"(718) 486-5587",,,"South Williamsburg","Shipping Services/Post Office","33",40.702167,-73.955621,"199 Lee Ave # A, Brooklyn, NY 11211","11211",,,,,,"2020-04-29T04:08:33.000Z","2020-04-29T04:08:16.000Z",,,,,,,,,,
"Lemons",207,"718-460-8006",,"https://www.instagram.com/lemonsbk/","North Williamsburg","Bar","13",40.72205,-73.95804,"80 Wythe Ave.","11249","Closed",,,,,"2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Webstie",,"Still temporarily closed as of 10/5/20 per website - AR
",,,,,"Temporary",
"Leo",208,"718-384-6531",,"https://www.instagram.com/leosourdough/","South Williamsburg","Restaurant","26",40.712394,-73.956717,"123 Havemeyer St","11211","Open",,"Yes","Yes","Sunday Pickup
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Order pickup/delivery via Caviar. Pantry items, wine & pastries can be ordered here for pickup: <https://leosourdough.square.site/>
","Order by 8pm on Friday for Sunday Pickup. Anything ordered after 8pm will be available for pickup the following Sunday.
",,"Pizzeria,Italian",,,,
"lighthouse ",209,"347-789-7742",,"https://www.instagram.com/lighthousebk/","South Williamsburg","Restaurant","26",40.710892,-73.953915,"145 Borniquen Pl.","11211","Open",,"Yes","Yes","Daily: 5pm-9pm
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Delivery and pre-order takeout on their site - <https://www.lighthousebk.com/>
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/r5tj6-lighthouse","American",,,,
"Lilia Ristorante",210,"718-576-3095",,"https://www.instagram.com/lilianewyork/","North Williamsburg","Restaurant","16",40.717541,-73.952464,"567 Union Ave.","11222","Open",,"Yes",,"Daily: 8am-4pm/5pm-10pm
","2020-08-26T00:29:50.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram/Location",,"
",,"Italian","Sidewalk Seating,Street Seating",,,
"Lincoln Market (aka Gourmet A'fare)",211,"(718) 389-3333",,"http://www.gourmet-afare.com/","Greenpoint","Grocery Store","1",40.736972,-73.956236,"1133 Manhattan Avenue, Brooklyn, NY 11222","11222","Open","Daily: 7am-8am for Seniors ","No","Yes","Daily: 7am-11pm
","2020-05-07T21:48:03.000Z","2020-04-29T00:34:13.000Z",,"Greenpoint Strong Slack","http://www.gourmet-afare.com/online-shopping/ 
10 am - 7 pm; 4 mile radius only ($3.99 w/i 2 miles; $6.99 outside)
","Customers need mask to be inside.
",,"Supermarket",,,,
"Lite Bites",212,"718-383-2820",,"https://www.instagram.com/litebitesbrooklyn/","Greenpoint","Restaurant","7",40.725612,-73.951622,"700 Manhattan Ave.","11222","Open",,"Yes","Yes","Daily: 6am-3pm
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Call to order, or you can use Seamless, GrubHub, or Postmates.
","Donation link last checked 9/7/20
","gf.me/u/xr27zb","American",,,,
"Little Dokebi",213,"718-349-1383",,"https://www.instagram.com/littledokebibk/","Greenpoint","Restaurant","10",40.723086,-73.942349,"85 Driggs Ave.","11222","Open",,"Yes","Yes","Daily: 12pm-11pm
","2020-07-16T23:22:56.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Call for takeout. Delivery available on Seamless, GrubHub, UberEats, Caviar, Postmates & DoorDash
",,,"Korean","Sidewalk Seating,Street Seating",,,
"Littleneck Outpost Greenpoint",214,"718-383-3080",,"https://www.instagram.com/littleneck_nyc/","Greenpoint","Restaurant","6",40.729299,-73.957296,"128 Franklin St.","11222","Open",,"Yes","Yes","Daily: 8am-6:30pm
","2020-07-09T17:05:22.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Take-out and Delivery 8am-630 pm on Seamless, GrubHub, UberEats, Caviar, Amazon Prime. Virtual tip jar via Venmo QR Code is on their IG
","
","Staff Venmo @lnop-digital-tip-jar","American,Seafood,Coffee Shop",,,,
"Llama Inn",215,"718-387-3434","pickup@llamainnnyc.com","https://www.instagram.com/llamainnnyc/","North Williamsburg","Restaurant","16",40.716677,-73.950467,"50 Withers St.","11211","Open",,"Yes","No","Daily: 12pm-8pm
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z",,,"Pickup only, with streamlined menu, by ordering via pickup@llamainnnyc.com or calling directlly.
","Check IG for updates. For gift cards email reservations@llamainnnyc.com
",,"Peruvian",,,,
